[INFO] (lattice_cell.c: 180): current_key = 447, current_payload = 1022036224.0, direction = 7
[INFO] (lattice_cell.c: 180): current_key = 525, current_payload = 1021090560.0, direction = 5
[INFO] (lattice_cell.c: 180): current_key = 376, current_payload = 1038459328.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 377, current_payload = 1038302592.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 440, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 441, current_payload = 1038296448.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 520, current_payload = 1038779584.0, direction = 0
[INFO] (lattice_cell.c: 374): the key I receive is 459
[INFO] (lattice_cell.c: 374): the key I receive is 462
[INFO] (lattice_cell.c: 374): the key I receive is 463
[INFO] (lattice_cell.c: 374): the key I receive is 440
[INFO] (lattice_cell.c: 374): the key I receive is 441
[INFO] (lattice_cell.c: 374): the key I receive is 442
[INFO] (lattice_cell.c: 374): the key I receive is 443
[INFO] (lattice_cell.c: 374): the key I receive is 444
[INFO] (lattice_cell.c: 401): on tick 4 of 50
[ERROR] (lattice_cell.c: 164): didn't receive the correct number of fi_star
[ERROR] (lattice_cell.c: 165): only received 3 states
